Month, Region, Zip, Sales Person, Category, Product, Total
Mar,East,15220,Dwight,Paper,Bond-50,502.87
Mar,East,15220,Michael,Paper,Bond-30,1583.81
Jan,East,15217,Jim,Paper,Bond-50,1078.40
May,East,15218,Dwight,Paper,Bond-50,2142.19
Dec,East,15221,Pam,Paper,Bond-30,2025.81
Mar,East,15220,Michael,Paper,Bond-20,421.11
Aug,South,15214,Dwight,Paper,Card Stock,136.20
Jan,South,15208,Dwight,Paper,Bond-20,1559.74
Mar,East,15217,Dwight,Copier,S200,214.31
Aug,East,15218,Jim,Paper,Bond-30,1850.91
May,South,15210,Jim,Paper,Bond-50,2418.95
Sept,West,15227,Packer,Paper,Laser-24,990.64
Oct,South,15215,Jim,Paper,Bond-30,973.35
Feb,North,15204,Jim,Paper,Bond-50,1573.00
Apr,West,15290,Jim,Paper,Bond-20,1136.35
Jan,East,15224,Dwight,Paper,Bond-50,430.77
July,South,15212,Michael,Paper,Card Stock,1944.40
Feb,North,15205,Dwight,Paper,Bond-20,393.55
Mar,North,15206,Pam,Paper,Bond-50,614.54
Nov,South,15210,Jim,Paper,Bond-40,1851.12
July,South,15214,Michael,Copier,S300,2316.94
Mar,South,15215,Michael,Paper,Bond-20,866.16
Jan,East,15226,Dwight,Paper,Card Stock,2373.42
Mar,South,15214,Jim,Paper,Bond-50,130.93
Feb,East,15218,Andy,Copier,S200,1166.36
Feb,East,15217,Jim,Paper,Card Stock,2326.71
Jan,East,15217,Dwight,Paper,Bond-30,2439.66
July,West,15232,Dwight,Paper,Card Stock,673.99
Dec,East,15221,Jim,Paper,Laser-24,598.25
Apr,East,15226,Dwight,Paper,Laser-24,2030.77
June,East,15221,Dwight,Paper,Card Stock,1900.84
July,North,15204,Jim,Paper,Bond-30,2069.36
July,South,15215,Jim,Paper,Bond-30,664.74
June,East,15218,Jim,Copier,S400,2259.92
Feb,East,15218,Dwight,Paper,Laser-24,281.43
Oct,South,15211,Dwight,Paper,Laser-24,1740.56
Dec,East,15220,Dwight,Paper,Bond-30,335.08
Aug,East,15222,Packer,Paper,Bond-40,1987.51
Sept,North,15204,Danny,Paper,Card Stock,140.83
June,North,15205,Dwight,Paper,Bond-50,1640.64
July,North,15106,Jim,Paper,Bond-50,2443.12
Dec,East,15218,Danny,Paper,Laser-24,150.74
Nov,East,15226,Jim,Paper,Bond-30,1550.65
May,East,15217,Dwight,Paper,Card Stock,1865.46
May,East,15219,Dwight,Paper,Laser-24,25.89
Sept,South,15213,Dwight,Paper,Laser-24,1850.39
Jan,South,15211,Dwight,Copier,S300,1334.21
Nov,East,15219,Dwight,Paper,Laser-24,541.03
June,West,15238,Danny,Paper,Bond-20,999.56
Sept,East,15217,Jim,Paper,Bond-30,1518.15
July,South,15216,Jim,Paper,Bond-50,596.08
Feb,South,15213,Dwight,Paper,Bond-30,2331.45
Feb,West,15290,Dwight,Paper,Card Stock,2094.21
Mar,East,15220,Michael,Paper,Bond-20,37.62
Aug,North,15205,Dwight,Paper,Bond-20,556.17
Oct,East,15220,Jim,Paper,Bond-40,904.17
Jan,South,15216,Jim,Paper,Bond-30,1720.84
July,East,15226,Dwight,Paper,Bond-40,1802.60
Oct,East,15224,Dwight,Paper,Laser-24,638.76
Oct,West,15227,Pam,Paper,Card Stock,1855.76
Mar,North,15204,Packer,Paper,Card Stock,434.48
July,South,15208,Jim,Paper,Bond-40,798.77
Nov,South,15215,Michael,Paper,Card Stock,284.18
Nov,South,15215,Dwight,Paper,Bond-20,1802.43
Apr,East,15226,Jim,Paper,Bond-50,1628.67
Apr,East,15219,Danny,Paper,Card Stock,826.61
June,East,15220,Jim,Paper,Card Stock,1957.12
Apr,East,15220,Pam,Paper,Bond-40,446.16
Sept,East,15224,Jim,Paper,Bond-20,780.33
Feb,North,15203,Michael,Paper,Bond-20,495.98
July,South,15213,Michael,Paper,Laser-24,1347.21
Sept,West,15290,Dwight,Paper,Bond-20,391.60
Nov,West,15233,Dwight,Paper,Bond-50,2155.33
Apr,East,15221,Dwight,Paper,Bond-50,1553.66
Feb,East,15222,Jim,Paper,Bond-30,1753.68
Feb,East,15224,Jim,Paper,Card Stock,1457.11
Feb,South,15215,Jim,Paper,Bond-30,1972.24
Mar,West,15260,Dwight,Paper,Card Stock,1263.01
Sept,West,15233,Pam,Copier,S200,964.14
Oct,West,15260,Jim,Paper,Laser-24,1018.08
Oct,East,15221,Pam,Copier,S300,1111.82
Sept,East,15220,Jim,Paper,Card Stock,305.79
Feb,East,15220,Dwight,Copier,S200,568.51
June,South,15215,Jim,Copier,S100,746.94
Oct,North,15205,Danny,Paper,Bond-20,1608.43
Mar,West,15233,Jim,Paper,Bond-30,2442.55
Feb,North,15204,Jim,Paper,Laser-24,2365.70
Nov,South,15214,Dwight,Paper,Laser-24,1360.21
May,North,15204,Ryan,Paper,Bond-20,1216.00
Feb,East,15226,Dwight,Paper,Bond-30,1195.17
Aug,North,15207,Jim,Paper,Bond-30,298.58
July,East,15219,Jim,Paper,Bond-20,1739.18
Nov,North,15204,Dwight,Paper,Bond-50,2346.46
Jan,East,15226,Jim,Paper,Bond-40,904.61
Feb,East,15219,Jim,Paper,Bond-20,2230.77
June,North,15205,Jim,Paper,Laser-24,1058.18
Sept,East,15221,Pam,Paper,Card Stock,1371.33
May,North,15106,Jim,Copier,S200,655.70
Oct,North,15120,Michael,Paper,Bond-30,1615.26
Mar,West,15233,Jim,Paper,Bond-30,1648.84
Apr,South,15215,Jim,Copier,S200,1745.47
Oct,East,15221,Jim,Paper,Laser-24,2025.64
July,South,15213,Jim,Paper,Laser-24,2299.87
Dec,East,15221,Dwight,Paper,Bond-50,655.63
May,East,15222,Michael,Paper,Bond-20,2145.36
Aug,West,15234,Jim,Paper,Card Stock,1519.09
Nov,North,15201,Jim,Paper,Bond-20,803.11
Dec,North,15203,Dwight,Paper,Card Stock,1536.60
Apr,East,15222,Andy,Paper,Bond-20,1062.97
Nov,West,15260,Dwight,Paper,Bond-20,1205.85
Apr,East,15222,Jim,Copier,S300,46.02
Sept,North,15206,Jim,Paper,Bond-30,1964.61
Oct,East,15224,Jim,Copier,S300,1693.93
Dec,East,15224,Danny,Paper,Laser-24,2284.40
Dec,South,15212,Dwight,Paper,Bond-40,1963.77
May,South,15208,Dwight,Paper,Bond-40,2159.98
Sept,East,15220,Jim,Paper,Laser-24,1428.79
Sept,West,15290,Jim,Paper,Laser-24,523.16
May,North,15205,Dwight,Paper,Bond-30,139.54
Jan,North,15203,Michael,Paper,Laser-24,1150.00
Mar,South,15214,Jim,Paper,Laser-24,943.15
Jan,East,15222,Dwight,Paper,Card Stock,173.94
Aug,East,15218,Jim,Paper,Bond-50,476.62
Apr,West,15290,Packer,Paper,Card Stock,1066.82
Aug,East,15219,Dwight,Copier,S100,154.57
Aug,East,15221,Dwight,Paper,Card Stock,1863.04
Aug,East,15221,Dwight,Copier,S400,1623.29
Jan,South,15213,Michael,Paper,Bond-20,297.89
Oct,South,15210,Dwight,Paper,Bond-30,1674.21
Nov,South,15214,Jim,Paper,Bond-30,1897.89
May,East,15220,Dwight,Paper,Card Stock,837.63
Apr,South,15214,Dwight,Paper,Bond-20,1900.03
Oct,East,15224,Dwight,Paper,Bond-50,2481.05
June,East,15226,Dwight,Paper,Laser-24,1192.41
Mar,West,15260,Jim,Paper,Bond-50,1171.08
Jan,East,15221,Dwight,Paper,Bond-30,1231.16
Apr,East,15219,Dwight,Paper,Bond-40,1342.25
June,East,15217,Jim,Paper,Laser-24,1974.24
Feb,East,15224,Packer,Copier,S400,1656.80
Feb,West,15235,Jim,Paper,Bond-30,229.54
Dec,West,15232,Michael,Paper,Bond-40,958.24
Nov,North,15106,Michael,Paper,Bond-20,933.75
Aug,West,15260,Dwight,Paper,Bond-40,2141.76
Aug,East,15226,Jim,Copier,S400,447.15
Sept,South,15216,Jim,Copier,S400,1090.36
Apr,East,15224,Dwight,Paper,Bond-30,1045.10
Mar,East,15219,Ryan,Paper,Bond-50,789.57
Aug,East,15217,Jim,Paper,Card Stock,1300.33
Oct,East,15221,Dwight,Paper,Bond-40,2164.70
Feb,East,15217,Dwight,Paper,Bond-40,2084.04
Aug,South,15215,Dwight,Paper,Bond-40,1068.38
Apr,East,15219,Dwight,Paper,Bond-30,2086.28
Feb,East,15222,Packer,Paper,Laser-24,1348.77
Mar,West,15232,Jim,Paper,Bond-20,1309.99
Apr,East,15226,Dwight,Paper,Bond-40,1824.43
Dec,East,15218,Jim,Paper,Bond-40,2071.15
Oct,North,15204,Jim,Paper,Laser-24,979.95
Sept,East,15221,Packer,Copier,S300,1466.40
June,North,15120,Dwight,Paper,Card Stock,2248.67
Dec,North,15206,Jim,Paper,Bond-40,2037.34
Jan,East,15219,Jim,Paper,Bond-50,1599.10
Apr,East,15224,Jim,Paper,Card Stock,806.84
June,West,15233,Ryan,Paper,Bond-40,1212.27
Aug,East,15220,Dwight,Paper,Bond-50,863.86
Sept,North,15201,Dwight,Paper,Laser-24,1689.76
Aug,North,15106,Dwight,Paper,Bond-50,455.66
Nov,North,15204,Jim,Copier,S450,866.32
Feb,West,15227,Dwight,Paper,Bond-30,348.16
July,East,15221,Dwight,Paper,Laser-24,2169.73
Jan,East,15222,Dwight,Paper,Card Stock,1198.99
May,South,15210,Michael,Paper,Bond-20,1934.58
Apr,West,15227,Jim,Paper,Bond-50,2391.01
Feb,East,15220,Danny,Paper,Bond-20,1822.36
Aug,East,15226,Dwight,Copier,S300,25.91
Apr,East,15222,Dwight,Paper,Bond-50,390.55
Mar,East,15220,Dwight,Copier,S100,368.64
Aug,North,15106,Packer,Paper,Bond-30,1446.84
May,North,15207,Michael,Paper,Bond-20,488.40
Mar,West,15236,Jim,Paper,Card Stock,2418.62
May,North,15106,Jim,Paper,Bond-40,1983.75
Mar,North,15201,Jim,Paper,Laser-24,1635.97
Oct,East,15218,Dwight,Paper,Laser-24,510.15
July,North,15207,Packer,Copier,S300,1540.36
Feb,East,15219,Dwight,Paper,Laser-24,350.62
Oct,East,15221,Dwight,Copier,S450,1416.71
Dec,North,15203,Packer,Paper,Bond-40,2446.57
Sept,East,15220,Dwight,Paper,Bond-30,514.41
Feb,East,15221,Jim,Paper,Bond-30,2180.51
Jan,East,15222,Dwight,Paper,Bond-20,2266.65
Jan,North,15204,Jim,Paper,Card Stock,286.72
Sept,South,15213,Packer,Copier,S300,445.45
May,North,15207,Michael,Paper,Bond-50,1664.30
July,East,15226,Dwight,Paper,Bond-30,447.86
Oct,South,15211,Dwight,Paper,Bond-20,146.22
Feb,South,15216,Dwight,Paper,Laser-24,1149.93
Apr,East,15226,Dwight,Paper,Card Stock,667.99
June,North,15120,Jim,Copier,S450,2189.53
July,East,15220,Dwight,Paper,Bond-30,1823.07
Feb,North,15204,Jim,Paper,Bond-40,1777.72
June,East,15221,Jim,Paper,Bond-20,2350.45
Nov,North,15204,Danny,Copier,S200,347.55
June,East,15217,Dwight,Paper,Bond-40,653.97
Feb,North,15205,Danny,Paper,Bond-50,843.35
Aug,East,15220,Jim,Paper,Bond-40,783.15
Oct,East,15224,Pam,Paper,Bond-20,336.29
Nov,South,15213,Jim,Copier,S300,1512.11
Nov,South,15214,Michael,Paper,Bond-40,993.56
Apr,West,15290,Pam,Paper,Card Stock,2061.48
Dec,West,15260,Pam,Paper,Card Stock,520.24
Sept,East,15220,Jim,Copier,S300,1666.73
Dec,West,15233,Dwight,Paper,Card Stock,1957.61
Nov,East,15218,Dwight,Paper,Laser-24,26.71
Jan,South,15214,Packer,Paper,Bond-30,2089.06
Feb,South,15215,Dwight,Paper,Bond-20,1499.30
Apr,South,15214,Jim,Paper,Laser-24,2359.35
Apr,East,15222,Jim,Copier,S450,25.75
July,North,15201,Jim,Paper,Card Stock,1898.83
Jan,North,15204,Packer,Copier,S450,84.40
Sept,South,15215,Jim,Paper,Bond-30,1023.82
Nov,East,15221,Dwight,Paper,Bond-40,1599.74
Sept,East,15222,Michael,Paper,Laser-24,354.15
Feb,East,15224,Jim,Paper,Bond-30,717.33
July,East,15218,Jim,Paper,Bond-50,511.40
Oct,South,15208,Danny,Paper,Bond-30,1012.37
Apr,North,15201,Dwight,Paper,Bond-30,419.31
Aug,East,15224,Dwight,Paper,Bond-30,467.47
Dec,East,15226,Jim,Paper,Laser-24,1988.38
Oct,North,15120,Jim,Copier,S100,2217.47
Aug,South,15213,Jim,Paper,Bond-30,895.35
Aug,East,15222,Dwight,Copier,S200,2365.68
Oct,South,15213,Packer,Paper,Bond-50,1882.12
Dec,South,15212,Andy,Paper,Bond-50,1140.26
Aug,South,15211,Dwight,Paper,Bond-30,886.40
Apr,North,15203,Michael,Paper,Bond-20,1047.70
Aug,East,15220,Jim,Paper,Card Stock,1224.91
Sept,South,15208,Dwight,Paper,Bond-20,1410.21
Mar,East,15221,Jim,Paper,Bond-40,1532.07
Feb,North,15203,Dwight,Paper,Bond-40,1785.37
Apr,West,15234,Packer,Paper,Bond-40,654.89
June,East,15221,Jim,Paper,Bond-30,1506.18
June,East,15224,Jim,Paper,Card Stock,598.19
Mar,East,15219,Dwight,Paper,Bond-50,2201.09
Jan,East,15224,Packer,Copier,S100,1313.32
Aug,North,15201,Packer,Copier,S450,979.46
Oct,South,15212,Dwight,Paper,Bond-20,1372.70
Feb,East,15226,Michael,Copier,S200,2473.59
Nov,East,15220,Jim,Paper,Bond-20,1474.02
May,North,15207,Dwight,Paper,Bond-30,584.79
May,East,15220,Dwight,Paper,Bond-30,1467.80
Dec,East,15226,Dwight,Copier,S200,2155.38
Nov,South,15212,Dwight,Paper,Laser-24,491.49
Aug,North,15201,Dwight,Paper,Bond-50,847.18
Oct,East,15218,Jim,Paper,Bond-50,1319.53
Nov,East,15218,Jim,Paper,Bond-50,1549.53
Sept,West,15233,Pam,Paper,Bond-40,1195.58
May,East,15217,Dwight,Copier,S200,90.24
Jan,North,15106,Michael,Paper,Bond-30,1809.94
Dec,East,15222,Andy,Paper,Bond-20,378.47
July,North,15120,Packer,Paper,Bond-30,2385.23
Aug,East,15220,Packer,Paper,Bond-30,813.63
June,North,15204,Dwight,Paper,Bond-30,1806.48
Feb,South,15210,Pam,Paper,Bond-20,1285.57
June,East,15220,Danny,Paper,Bond-40,1667.54
July,North,15120,Packer,Paper,Card Stock,732.39
June,West,15236,Dwight,Copier,S400,1037.01
Jan,South,15216,Dwight,Paper,Bond-20,637.70
Jan,East,15222,Packer,Paper,Bond-20,1112.43
Mar,East,15224,Pam,Copier,S400,2312.22
May,East,15218,Michael,Paper,Bond-40,2245.22
Oct,East,15221,Dwight,Copier,S400,1637.14
June,East,15218,Michael,Paper,Bond-20,2049.78
Apr,East,15218,Jim,Paper,Card Stock,171.68
July,North,15206,Michael,Paper,Bond-20,1075.39
July,East,15218,Jim,Paper,Bond-40,1745.34
Dec,South,15215,Jim,Paper,Bond-20,1523.34
Sept,East,15217,Jim,Paper,Bond-50,1020.92
Aug,West,15260,Jim,Paper,Laser-24,1795.59
July,South,15211,Dwight,Paper,Bond-20,1557.31
May,East,15221,Michael,Paper,Laser-24,1397.02
Nov,East,15219,Jim,Paper,Laser-24,224.23
Jan,North,15120,Dwight,Paper,Bond-40,2286.31
Feb,North,15205,Jim,Paper,Bond-20,756.42
Jan,East,15224,Jim,Paper,Bond-40,2072.02
May,East,15218,Dwight,Paper,Bond-40,501.33
June,East,15224,Jim,Paper,Bond-20,2448.09
Apr,East,15220,Dwight,Copier,S300,102.30
Sept,East,15221,Jim,Paper,Laser-24,2097.31
May,South,15212,Packer,Copier,S300,227.64
Mar,North,15201,Dwight,Paper,Bond-30,2401.05
Jan,North,15120,Michael,Paper,Bond-40,337.45
Feb,North,15207,Andy,Paper,Bond-20,1838.57
Dec,East,15218,Pam,Paper,Bond-20,1922.40
Aug,North,15203,Michael,Paper,Bond-40,426.32
Feb,East,15219,Dwight,Paper,Card Stock,331.87
May,East,15226,Dwight,Paper,Bond-30,876.76
Aug,North,15106,Jim,Paper,Card Stock,584.01
Oct,East,15222,Jim,Paper,Bond-40,481.92
Apr,East,15219,Dwight,Paper,Bond-30,696.47
Aug,East,15226,Michael,Paper,Laser-24,1350.54
Apr,East,15219,Jim,Paper,Laser-24,578.18
May,West,15234,Dwight,Paper,Card Stock,998.55
Sept,North,15204,Jim,Paper,Bond-50,2024.94
Jan,West,15232,Dwight,Paper,Card Stock,2473.16
Apr,East,15217,Dwight,Paper,Bond-30,415.01
Nov,South,15213,Dwight,Paper,Bond-30,1124.86
Oct,East,15224,Michael,Paper,Bond-40,846.95
Nov,East,15218,Dwight,Paper,Bond-40,1442.40
Dec,West,15227,Michael,Copier,S400,1549.26
May,North,15205,Dwight,Paper,Bond-30,1634.33
Nov,East,15222,Dwight,Paper,Bond-50,1109.24
June,South,15215,Michael,Paper,Laser-24,1352.65
Jan,South,15212,Packer,Paper,Card Stock,1687.95
Nov,East,15218,Jim,Paper,Bond-20,2181.05
June,East,15220,Jim,Paper,Card Stock,2135.17
Oct,East,15218,Jim,Paper,Card Stock,1596.79
June,East,15226,Pam,Paper,Card Stock,1267.80
Nov,South,15211,Packer,Paper,Bond-20,1745.72
Dec,East,15222,Jim,Copier,S400,2422.21
Jan,North,15120,Dwight,Paper,Bond-30,1619.32
May,South,15212,Jim,Paper,Laser-24,1057.39
July,East,15221,Dwight,Copier,S300,672.58
July,West,15227,Jim,Paper,Bond-30,1024.87
May,East,15220,Jim,Paper,Card Stock,630.87
Aug,South,15213,Dwight,Paper,Bond-30,152.37
Nov,West,15235,Packer,Copier,S100,2309.16
Dec,West,15227,Michael,Paper,Bond-30,193.99
Dec,East,15218,Dwight,Paper,Bond-50,252.13
Aug,South,15214,Michael,Paper,Bond-50,1406.44
May,East,15224,Michael,Paper,Bond-50,1288.87
Aug,West,15227,Jim,Paper,Bond-40,1702.11
Jan,West,15233,Dwight,Paper,Bond-40,164.83
May,North,15204,Dwight,Paper,Laser-24,462.45
Mar,South,15208,Dwight,Paper,Bond-20,1850.86
May,South,15215,Jim,Paper,Bond-20,655.79
June,East,15219,Dwight,Paper,Bond-20,2284.94
Nov,South,15216,Packer,Paper,Card Stock,460.13
Sept,East,15221,Pam,Paper,Bond-30,1376.36
July,East,15220,Packer,Paper,Bond-40,373.51
Mar,North,15206,Dwight,Paper,Bond-40,623.88
Jan,East,15222,Packer,Paper,Bond-20,1886.95
Apr,South,15213,Michael,Paper,Card Stock,1834.04
Apr,East,15224,Dwight,Paper,Card Stock,1289.64
June,West,15238,Michael,Paper,Bond-50,2349.22
Aug,North,15205,Dwight,Paper,Laser-24,992.55
Aug,East,15224,Packer,Paper,Card Stock,1647.27
Aug,West,15260,Dwight,Paper,Bond-40,1896.31
Nov,East,15222,Michael,Paper,Bond-20,2205.66
Feb,East,15222,Dwight,Paper,Laser-24,623.82
June,East,15224,Dwight,Paper,Bond-20,1800.24
Sept,South,15211,Jim,Paper,Bond-40,1147.08
Apr,West,15238,Jim,Paper,Bond-40,1034.02
Feb,South,15208,Jim,Paper,Bond-30,1752.45
Nov,North,15201,Packer,Paper,Bond-50,1871.99
Dec,East,15217,Dwight,Paper,Laser-24,614.89
July,South,15211,Packer,Copier,S300,2450.67
June,East,15222,Jim,Paper,Bond-50,666.18
Mar,East,15224,Jim,Paper,Laser-24,2240.68
Mar,West,15290,Jim,Paper,Bond-30,2160.68
May,East,15222,Dwight,Paper,Bond-50,1382.18
Mar,South,15213,Danny,Paper,Card Stock,516.97
Aug,East,15218,Dwight,Copier,S450,733.00
June,South,15214,Dwight,Paper,Card Stock,1645.23
July,East,15218,Pam,Paper,Bond-40,593.41
July,North,15120,Dwight,Paper,Bond-20,1680.52
July,East,15217,Dwight,Copier,S300,1149.50
July,East,15219,Jim,Paper,Laser-24,1348.58
Feb,North,15120,Jim,Paper,Bond-40,1896.80
Nov,West,15227,Jim,Paper,Card Stock,1698.06
Jan,East,15226,Ryan,Paper,Laser-24,252.83
Sept,East,15224,Dwight,Paper,Card Stock,1961.38
Apr,South,15213,Packer,Paper,Bond-30,487.79
Aug,East,15226,Jim,Paper,Bond-20,1684.30
Aug,East,15220,Michael,Paper,Bond-30,2002.59
Nov,North,15120,Jim,Paper,Bond-50,2001.80
July,North,15205,Jim,Paper,Card Stock,2316.61
Mar,East,15219,Jim,Paper,Laser-24,2172.08
Dec,South,15215,Jim,Paper,Bond-20,1992.64
Nov,East,15218,Jim,Paper,Card Stock,680.21
Feb,West,15238,Jim,Paper,Bond-30,1911.67
Aug,West,15290,Michael,Copier,S450,254.16
Dec,South,15210,Jim,Paper,Bond-50,1152.69
Apr,East,15217,Dwight,Paper,Laser-24,2055.48
Apr,South,15216,Danny,Paper,Laser-24,2449.40
Apr,East,15217,Jim,Paper,Bond-20,2020.63
Jan,South,15213,Jim,Paper,Bond-40,181.25
Mar,East,15221,Andy,Paper,Bond-40,1597.00
Apr,West,15227,Dwight,Paper,Bond-20,643.78
Mar,East,15218,Michael,Paper,Bond-20,29.71
Sept,East,15219,Jim,Paper,Bond-40,1155.41
May,East,15218,Dwight,Paper,Card Stock,2341.92
Feb,East,15219,Dwight,Copier,S200,2212.45
June,South,15213,Dwight,Copier,S450,2075.70
May,East,15218,Jim,Copier,S100,2331.10
Apr,North,15206,Ryan,Paper,Bond-40,2415.65
Dec,South,15210,Andy,Copier,S450,2089.53
Apr,North,15203,Dwight,Paper,Bond-50,142.08
Dec,North,15204,Jim,Paper,Bond-40,581.72
Mar,North,15207,Packer,Paper,Bond-20,1551.15
June,East,15218,Dwight,Paper,Bond-20,497.23
July,North,15206,Dwight,Paper,Laser-24,2280.57
Mar,East,15221,Dwight,Copier,S200,1753.62
Jan,West,15232,Dwight,Paper,Bond-50,1896.62
Aug,South,15214,Dwight,Paper,Bond-30,1976.38
Mar,West,15232,Dwight,Paper,Bond-40,1853.86
Oct,North,15207,Michael,Paper,Bond-40,2090.87
Jan,West,15232,Jim,Paper,Laser-24,2102.39
July,East,15226,Dwight,Paper,Bond-50,1459.34
Feb,South,15212,Jim,Paper,Bond-20,1666.78
Feb,East,15219,Jim,Paper,Bond-40,1546.76
Nov,South,15215,Danny,Paper,Bond-50,2042.78
Mar,South,15208,Pam,Paper,Bond-40,32.40
Mar,East,15220,Danny,Paper,Bond-50,2154.77
Oct,North,15120,Dwight,Paper,Bond-30,949.69
Oct,North,15205,Jim,Copier,S400,613.76
Aug,South,15210,Ryan,Copier,S450,179.42
Jan,West,15232,Jim,Paper,Bond-50,1067.55
Dec,East,15220,Dwight,Paper,Bond-50,118.06
Oct,North,15207,Dwight,Paper,Bond-50,2181.32
Nov,East,15226,Packer,Paper,Card Stock,633.46
Mar,South,15212,Dwight,Copier,S400,2273.88
Mar,South,15214,Packer,Paper,Bond-50,1268.68
June,North,15201,Dwight,Paper,Card Stock,1837.44
June,East,15218,Dwight,Paper,Laser-24,1554.60
Jan,East,15222,Jim,Paper,Laser-24,881.16
Nov,East,15217,Dwight,Paper,Bond-20,1978.61
Oct,East,15221,Dwight,Paper,Bond-30,2268.93
Nov,East,15220,Dwight,Paper,Laser-24,1875.02
Apr,South,15215,Michael,Copier,S200,1111.64
Dec,West,15234,Packer,Copier,S200,1020.69
Oct,South,15216,Jim,Paper,Bond-20,2316.04
May,South,15210,Dwight,Paper,Card Stock,1404.04
June,West,15235,Jim,Paper,Card Stock,1130.43
Jan,West,15232,Dwight,Copier,S450,706.93
Feb,South,15216,Jim,Paper,Bond-20,374.90
Dec,South,15214,Packer,Paper,Card Stock,1318.54
Mar,South,15216,Jim,Paper,Bond-40,1420.45
Oct,East,15222,Dwight,Paper,Card Stock,2290.18
Oct,East,15224,Ryan,Paper,Bond-20,2379.78
Dec,East,15220,Packer,Paper,Bond-30,1356.29
June,East,15218,Michael,Paper,Bond-40,1342.23
Sept,East,15221,Jim,Paper,Bond-20,1986.45
Sept,East,15217,Packer,Paper,Laser-24,1927.12
June,North,15204,Jim,Paper,Bond-40,1875.14
Aug,East,15219,Michael,Copier,S300,1973.71
May,North,15106,Jim,Paper,Laser-24,1445.45
Sept,North,15204,Dwight,Copier,S300,1024.65
May,North,15203,Dwight,Copier,S100,1069.52
Dec,East,15222,Packer,Paper,Bond-30,2029.09
Aug,South,15215,Dwight,Paper,Bond-40,509.02
Sept,North,15207,Packer,Paper,Laser-24,734.44
Aug,East,15221,Jim,Paper,Bond-40,1247.56
Oct,South,15215,Dwight,Paper,Bond-40,2277.64
Sept,East,15226,Jim,Paper,Card Stock,2417.87
Dec,East,15217,Dwight,Paper,Bond-30,2210.49
May,South,15211,Dwight,Paper,Laser-24,2089.31
May,North,15206,Jim,Paper,Bond-30,1061.14
May,South,15208,Michael,Paper,Bond-50,2097.05
June,West,15233,Pam,Paper,Laser-24,1733.73
Aug,East,15217,Dwight,Copier,S450,1790.11
Aug,South,15212,Dwight,Paper,Bond-50,1829.40
Sept,West,15236,Michael,Paper,Bond-20,419.30
Apr,North,15204,Jim,Paper,Bond-30,523.84
Jan,North,15201,Packer,Paper,Laser-24,1094.96
Oct,East,15220,Jim,Copier,S300,1634.42
Feb,South,15214,Michael,Paper,Bond-50,2359.49
Nov,North,15207,Michael,Paper,Bond-30,1014.21
Nov,North,15204,Packer,Paper,Bond-40,675.03
Feb,South,15215,Jim,Paper,Bond-20,525.21
June,East,15219,Michael,Paper,Bond-50,2342.96
July,North,15201,Michael,Paper,Bond-50,924.69
Oct,East,15222,Dwight,Paper,Bond-40,2256.66
Jan,East,15220,Danny,Paper,Bond-20,1856.67
